"title","year","points","journal","doi","issn","eissn","author","affiliation","employment"
"Composition and multiplication operators between Orlicz function spaces",2016,30,"JOURNAL OF INEQUALITIES AND APPLICATIONS","10.1186/s13660-016-0972-9","1025-5834","1029-242X","Kaczmarek, Radosław",TRUE,TRUE
"Composition and multiplication operators between Orlicz function spaces",2016,30,"JOURNAL OF INEQUALITIES AND APPLICATIONS","10.1186/s13660-016-0972-9","1025-5834","1029-242X","Chawziuk, Tadeusz",TRUE,FALSE
"Composition operators on Hardy–Orlicz spaces on planar domains",2017,30,"ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA","10.5186/aasfm.2017.4240","1239-629X",,"Rzeczkowski, Michał",TRUE,TRUE
"Composition operators with closed range for one-dimensional smooth symbols",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2012.10.009","0022-247X",,"Przestacki, Adam",TRUE,
"Constructions of independent sets in random intersection graphs",2014,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2014.01.006","0304-3975",,"Rybarczyk-Krzywdzińska, Katarzyna",TRUE,TRUE
"Convergence almost everywhere of multiple Fourier series over cubes",2018,40,"TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY","10.1090/tran/7172","0002-9947","1088-6850","Mastyło, Mieczysław",TRUE,TRUE
"Copies of $\Bbb R^{\Bbb N}$ in F-lattices",2016,9,"Commentationes Mathematicae","10.14708/cm.v56i2.1558","2080-1211",,"Wnuk, Witold",TRUE,TRUE
"Corrigendum to ""Automatic continuity and amenability in the non-commutative Schwartz space'' [J. Math. Anal. Appl. 432 (2) (2015) 954–964]",2016,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2015.10.049","0022-247X",,"Piszczek, Krzysztof",TRUE,TRUE
"Corrigendum to ""Characterization of composition operators with closed range for one-dimensional smooth symbols'' [J. Funct. Anal. 266 (9) (2014) 5847–5857]",2015,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2015.07.004","0022-1236",,"Przestacki, Adam",TRUE,TRUE
"Cracow Circle and Its Philosophy of Logic and Mathematics",2015,20,"Axiomathes","10.1007/s10516-014-9256-5","1122-1151",,"Murawski, Roman",TRUE,TRUE
"Cumulants of Jack symmetric functions and b-conjecture (extended abstract)",2016,20,"DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE",,"1462-7264",,"Dołęga, Maciej",TRUE,TRUE
"Cumulants of Jack symmetric functions and the b-conjecture",2017,40,"TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY","10.1090/tran/7191","0002-9947","1088-6850","Dołęga, Maciej",TRUE,TRUE
"D-optimal and highly D-efficient designs with non-negatively correlated observations",2016,15,"KYBERNETIKA","10.14736/kyb-2016-4-0575","0023-5954",,"Katulska, Krystyna",TRUE,TRUE
"D-optimal and highly D-efficient designs with non-negatively correlated observations",2016,15,"KYBERNETIKA","10.14736/kyb-2016-4-0575","0023-5954",,"Smaga, Łukasz",TRUE,TRUE
"D-optimal chemical balance weighing designs with autoregressive errors",2013,20,"METRIKA","10.1007/s00184-012-0394-8","0026-1335",,"Katulska, Krystyna",TRUE,TRUE
"D-optimal chemical balance weighing designs with autoregressive errors",2013,20,"METRIKA","10.1007/s00184-012-0394-8","0026-1335",,"Smaga, Łukasz",TRUE,TRUE
"Decomposition of Minkowski–Radström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces",2013,30,"Set-Valued and Variational Analysis","10.1007/s11228-013-0231-x","1877-0533",,"Przybycień, Hubert",TRUE,TRUE
"Decomposition of Minkowski–Radström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces",2013,30,"Set-Valued and Variational Analysis","10.1007/s11228-013-0231-x","1877-0533",,"Urbański, Ryszard",TRUE,TRUE
"Decomposition of Minkowski–Radström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces",2013,30,"Set-Valued and Variational Analysis","10.1007/s11228-013-0231-x","1877-0533",,"Grzybowski, Jerzy",TRUE,TRUE
"Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT",2014,12,"Journal of Automation Mobile Robotics and Intelligent Systems","10.14313/JAMRIS_1-2014/10","1897-8649",,"Czarnecki, Wojciech",TRUE,
"Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT",2014,12,"Journal of Automation Mobile Robotics and Intelligent Systems","10.14313/JAMRIS_1-2014/10","1897-8649",,"Szarzyński, Krzysztof",TRUE,
"Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT",2014,12,"Journal of Automation Mobile Robotics and Intelligent Systems","10.14313/JAMRIS_1-2014/10","1897-8649",,"Wójtowicz, Andrzej",TRUE,
"Determinanty swap spreadów w Polsce",2014,7,"Acta Universitatis Nicolai Copernici, Ekonomia","10.12775/AUNC_ECON.2014.007","2080-0339",,"Płuciennik, Piotr",TRUE,TRUE
"Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis",2016,15,"Biocybernetics and Biomedical Engineering","10.1016/j.bbe.2016.08.003","0208-5216",,"Dyczkowski, Krzysztof",TRUE,TRUE
"Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis",2016,15,"Biocybernetics and Biomedical Engineering","10.1016/j.bbe.2016.08.003","0208-5216",,"Stachowiak, Anna",TRUE,TRUE
"Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis",2016,15,"Biocybernetics and Biomedical Engineering","10.1016/j.bbe.2016.08.003","0208-5216",,"Żywica, Patryk",TRUE,TRUE
"Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis",2016,15,"Biocybernetics and Biomedical Engineering","10.1016/j.bbe.2016.08.003","0208-5216",,"Wójtowicz, Andrzej",TRUE,
"Diagonal and unscaled Wald-type tests in general factorial designs",2017,30,"Electronic Journal of Statistics","10.1214/17-EJS1297","1935-7524",,"Smaga, Łukasz",TRUE,TRUE
"Differential inclusions and multivalued integrals",2013,10,"Discussiones Mathematicae Differential Inclusions Control and Optimization","10.7151/dmdico1147","1509-9407",,"Cichoń, Mieczysław",TRUE,TRUE
"Directional reprezentation of data in Linear Discriminant Analysis",2015,12,"Biometrical Letters","10.1515/bile-2015-006","1896-3811",,"Grala-Michalak, Jolanta",TRUE,TRUE
"Distributed algorithms for random graphs.",2015,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2015.08.037","0304-3975",,"Rybarczyk-Krzywdzińska, Katarzyna",TRUE,TRUE
"Distribution of Mordell-Weil ranks of families of elliptic curves",2016,14,"BANACH CENTER PUBLICATIONS","10.4064/bc108-0-16","0137-6934","1730-6299","Naskręcki, Bartosz",TRUE,TRUE
"Distribution of the displacement sequence of an orientation preserving circle homeomorphism",2014,20,"DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL","10.1080/14689367.2013.868867","1468-9367",,"Marzantowicz, Wacław",TRUE,TRUE
"Distribution of zeros and disconjugacy of fourth order differential equations",2016,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201200114","0025-584X",,"Kubiaczyk, Ireneusz",TRUE,TRUE
"Divisibility sequences of polynomials and heights estimates",2016,20,"New York Journal of Mathematics",,"1076-9803",,"Naskręcki, Bartosz",TRUE,TRUE
"Domination and factorization of multilinear operators",2013,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Mastyło, Mieczysław",TRUE,TRUE
"Dowód w matematyce – dziś i jutro",2013,15,"Filozofia Nauki",,"1230-6894",,"Murawski, Roman",TRUE,TRUE
"Dual space of the Minkowski-Radström-Hörmander space over R^2",2014,14,"Functiones et Approximatio, Commentarii Mathematici","10.7169/facm/2014.50.1.9","0208-6573",,"Grzybowski, Jerzy",TRUE,TRUE
"Dual space of the Minkowski-Radström-Hörmander space over R^2",2014,14,"Functiones et Approximatio, Commentarii Mathematici","10.7169/facm/2014.50.1.9","0208-6573",,"Urbański, Ryszard",TRUE,TRUE
"Dynamic linkages between stock markets: the effects of crises and globalization",2013,15,"Portuguese Economic Journal","10.1007/s10258-013-0091-1","1617-982X",,"Doman, Ryszard",TRUE,TRUE
"Dynamic Linkages in the Pairs (GBP\EUR, USD\EUR) and (GBP\USD, EUR\USD): How Do They Change During a Day?",2014,14,"Central European Journal of Economic Modelling and Econometrics",,"2080-0886",,"Doman, Ryszard",TRUE,TRUE
"Dynamical properties of weighted composition operators on the space of smooth functions",2017,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2016.08.029","0022-247X",,"Przestacki, Adam",TRUE,TRUE
"Dynamika powiązań polskiego rynku kapitałowego z rynkami Czech i Węgier oraz głównymi rynkami światowymi",2013,10,"STUDIA OECONOMICA POSNANIENSIA",,"2300-5254","2449-9099","Doman, Ryszard",TRUE,TRUE
"E-optimal and highly E-efficient designs with n = 3 (mod 4) correlated observations",2017,25,"LINEAR & MULTILINEAR ALGEBRA","10.1080/03081087.2016.1272542","0308-1087",,"Smaga, Łukasz",TRUE,TRUE
"Edit distance measure for graphs",2015,15,"CZECHOSLOVAK MATHEMATICAL JOURNAL","10.1007/s10587-015-0211-4","0011-4642","1572-9141","Krzywdziński, Krzysztof",TRUE,TRUE
"Editorial - Geometry of Function Spaces",2013,25,"Journal of Function Spaces and Applications","10.1155/2013/636025","0972-6802",,"Hudzik, Henryk",TRUE,TRUE
"Educational multimedia materials in academic medical training",2014,15,"Studies in Logic, Grammar and Rhetoric","10.2478/slgr-2014-0045","0860-150X",,"Kowalewski, Wojciech",TRUE,TRUE
"Effective topological complexity of spaces with symmetries",2017,35,"PUBLICACIONS MATEMATIQUES","10.5565/PUBLMAT6211803","0214-1493",,"Błaszczyk, Zbigniew",TRUE,TRUE
"Effective topological complexity of spaces with symmetries",2017,35,"PUBLICACIONS MATEMATIQUES","10.5565/PUBLMAT6211803","0214-1493",,"Kaluba, Marek",TRUE,TRUE
"Effective version of self-approximation for the Riemann zeta function",2017,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201400107","0025-584X","1522-2616","Pańkowski, Łukasz",TRUE,TRUE
"Efimov spaces and the separable quotient problem  for spaces Cp(K)",2018,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2017.08.010","0022-247X",,"Kąkol, Jerzy",TRUE,TRUE
"Eigenvalues and entropy moduli of operators in interpolation spaces",2017,35,"The Journal of Geometric Analysis","10.1007/s12220-016-9713-z","1050-6926","1559-002X","Mastyło, Mieczysław",TRUE,TRUE
"Eigenvalues and entropy moduli of operators in interpolation spaces",2017,35,"The Journal of Geometric Analysis","10.1007/s12220-016-9713-z","1050-6926","1559-002X","Szwedek, Radosław",TRUE,TRUE
"Ellipsoidal geometry of Banach spaces and applications",2017,35,"Journal of Nonlinear and Convex Analysis",,"1345-4773",,"Kaczmarek, Radosław",TRUE,TRUE
"Embedding Properties of Besov-Type Spaces",2015,25,"APPLICABLE ANALYSIS","10.1080/00036811.2014.895331","0003-6811",,"Skrzypczak, Leszek",TRUE,TRUE
"Embedding properties of weighted Besov-type spaces",2015,40,"Analysis and Applications","10.1142/S0219530514500493","0219-5305",,"Skrzypczak, Leszek",TRUE,TRUE
"Embedding the Erdős–Rényi hypergraph into the random regular hypergraph and Hamiltonicity",2017,35,"JOURNAL OF COMBINATORIAL THEORY SERIES B","10.1016/j.jctb.2016.09.003","0095-8956",,"Ruciński, Andrzej",TRUE,TRUE
"Embeddings of Besov-Morrey spaces on bounded domains",2013,25,"STUDIA MATHEMATICA","10.4064/sm218-2-2","0039-3223",,"Skrzypczak, Leszek",TRUE,TRUE
"Embeddings of weighted Morrey spaces",2017,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201600165","0025-584X","1522-2616","Skrzypczak, Leszek",TRUE,TRUE
"Equivariant Jones polynomials of periodic links",2017,20,"JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS","10.1142/S0218216517410073","0218-2165","1793-6527","Politarczyk, Wojciech",TRUE,TRUE
"Equivariant maps between representation spheres",2017,15,"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN",,"1370-1444",,"Błaszczyk, Zbigniew",TRUE,TRUE
"Equivariant maps between representation spheres",2017,15,"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN",,"1370-1444",,"Marzantowicz, Wacław",TRUE,TRUE
"Erratum and addendum to the paper ""Compactness and essential norms of composition operators on Orlicz-Lorentz spaces"" [Applied Mathematics Letters 25 (2012) 1778--1783]",2014,9,"Commentationes Mathematicae","10.14708/cm.v54i2.706","2080-1211",,"Hudzik, Henryk",TRUE,TRUE
"Erratum to: Nonseparable closed vector subspaces of separable topological vector spaces",2017,25,"MONATSHEFTE FUR MATHEMATIK","10.1007/s00605-016-0943-8","0026-9255","1436-5081","Kąkol, Jerzy",TRUE,TRUE
"Euler type partial differential operators on real analytic functions",2016,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2016.05.018","0022-247X",,"Domański, Paweł",TRUE,TRUE
"Euro or not?  Vulnerability of the Czech and Slovak economies to the transmission of crises - the case of the Hungarian and Greek turmoil.",2017,25,"ECONOMIC MODELLING","10.1016/j.econmod.2016.09.019","0264-9993",,"Płuciennik, Piotr",TRUE,TRUE
"Euro or not? Vulnerability of Czech and Slovak Economies to Regional and International Turmoil",2016,25,"ECONOMIC MODELLING","10.1016/j.econmod.2016.09.019","0264-9993",,"Płuciennik, Piotr",TRUE,TRUE
"Evolutionarily tuned generalized pseudo-inverse in linear discriminant analysis",2016,15,"COMPUTING AND INFORMATICS",,"1335-9150",,"Górecki, Tomasz",TRUE,TRUE
"Existence of monotonic $L_\varphi$-solutions for quadratic Volterra functional-integral equations",2015,30,"Electronic Journal of Qualitative Theory of Differential Equations","10.14232/ejqtde.2015.1.13","1417-3875",,"Cichoń, Mieczysław",TRUE,TRUE
"Existence theory for semilinear evolution inclusions involving measures",2017,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201600162","0025-584X","1522-2616","Cichoń, Mieczysław",TRUE,TRUE
"Explicit zero-counting theorem for Hecke-Landau zeta-functions",2017,20,"BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY","10.1017/S0004972716001106","0004-9727","1755-1633","Grześkowiak, Maciej",TRUE,TRUE
"Extension and restriction for Bergman scale of spaces and one dimensional subvarieties on convex finite type domains",2016,30,"NAGOYA MATHEMATICAL JOURNAL",,"0027-7630",,"Jasiczak, Michał",TRUE,TRUE
"Extension from linear subvarieties for the Bergman scale of spaces on convex domains",2014,15,"Annales Polonici Mathematici","10.4064/ap112-1-1","0066-2216",,"Jasiczak, Michał",TRUE,TRUE
"Extension of Pettis integration: Pettis operators and their integrals",2018,30,"Collectanea Mathematica","10.1007/s13348-018-0225-y","0010-0757","2038-4815","Drewnowski, Lech",TRUE,
"External validation of the IOTA ADNEX model performed by two independent gynecologic centers",2016,40,"GYNECOLOGIC ONCOLOGY","10.1016/j.ygyno.2016.06.020","0090-8258",,"Dyczkowski, Krzysztof",TRUE,TRUE
"External validation of the IOTA ADNEX model performed by two independent gynecologic centers",2016,40,"GYNECOLOGIC ONCOLOGY","10.1016/j.ygyno.2016.06.020","0090-8258",,"Stachowiak, Anna",TRUE,TRUE
"External validation of the IOTA ADNEX model performed by two independent gynecologic centers",2016,40,"GYNECOLOGIC ONCOLOGY","10.1016/j.ygyno.2016.06.020","0090-8258",,"Żywica, Patryk",TRUE,TRUE
"Extreme values for L-functions from the Selberg class",2013,20,"JOURNAL OF NUMBER THEORY","10.1142/S1793042113500152","0022-314X",,"Pańkowski, Łukasz",TRUE,TRUE
"Factorization and extension of positive homogeneous polynomials.",2014,25,"STUDIA MATHEMATICA","10.4064/sm221-1-5","0039-3223",,"Mastyło, Mieczysław",TRUE,TRUE
"Factorization of (q,p)-summing polynomials through Lorentz spaces",2017,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2016.12.005","0022-247X",,"Mastyło, Mieczysław",TRUE,TRUE
"Factorization of Operators Through Orlicz Spaces",2017,35,"Bulletin of the Malaysian Mathematical Sciences Society","10.1007/s40840-015-0158-5","0126-6705",,"Mastyło, Mieczysław",TRUE,TRUE
"Families of triples with high minimum degree are hamiltonian",2014,15,"Discussiones Mathematicae Graph Theory","10.7151/dmgt.1743","1234-3099",,"Ruciński, Andrzej",TRUE,TRUE
"Filozofia logiki i matematyki w Kole Krakowskim",2014,15,"Filozofia Nauki (Philosophy of Science)",,"1230-6894",,"Murawski, Roman",TRUE,TRUE
"Finding Hamilton cycles in random intersection graphs",2018,20,"Discrete Mathematics and Theoretical Computer Science","10.23638/DMTCS-20-1-8","1462-7264",,"Rybarczyk-Krzywdzińska, Katarzyna",TRUE,TRUE
"Finding large co-Sidon subsets in sets with a given additive energy",2013,30,"EUROPEAN JOURNAL OF COMBINATORICS","10.1016/j.ejc.2013.04.002","0195-6698",,"Schoen, Tomasz",TRUE,TRUE
"First and Second Derivatives in Time Series Classification Using DTW",2014,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2013.775296","0361-0918",,"Górecki, Tomasz",TRUE,TRUE
"Forty years of Hutton fuzzy unit interval",2015,40,"FUZZY SETS AND SYSTEMS","10.1016/j.fss.2015.06.008","0165-0114",,"Kubiak, Tomasz",TRUE,TRUE
"Fractional integral operators between Banach function lattices",2015,45,"NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS","10.1016/j.na.2015.01.014","0362-546X",,"Mastyło, Mieczysław",TRUE,TRUE
"Free locally convex spaces with a small bases",2017,30,"Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas","10.1007/s13398-016-0315-1","1578-7303","1579-1505","Kąkol, Jerzy",TRUE,TRUE
"Functional discriminant coordinates",2014,15,"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","10.1080/03610926.2013.828074","0361-0926",,"Górecki, Tomasz",TRUE,TRUE
"Functional discriminant coordinates",2014,15,"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","10.1080/03610926.2013.828074","0361-0926",,"Krzyśko, Mirosław",TRUE,TRUE
"Functional discriminant coordinates",2014,15,"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","10.1080/03610926.2013.828074","0361-0926",,"Waszak, Łukasz",TRUE,FALSE
"Funkcjonalna analiza składowych głównych PKB",2013,12,"Wiadomości Statystyczne",,"0043-518X",,"Górecki, Tomasz",TRUE,TRUE
"Gain of regularity in extension problem on convex domains",2015,15,"Journal of Function Spaces","10.1155/2015/295759","2314-8896",,"Jasiczak, Michał",TRUE,TRUE
"Galois Symmetries of Bethe Parameters for the Heisenberg Pentagon",2013,20,"REPORTS ON MATHEMATICAL PHYSICS","10.1016/S0034-4877(13)60030-0","0034-4877",,"Banaszak, Grzegorz",TRUE,TRUE
"Galois Symmetries of Bethe Parameters for the Heisenberg Pentagon",2013,20,"REPORTS ON MATHEMATICAL PHYSICS","10.1016/S0034-4877(13)60030-0","0034-4877",,"Szydło, Bogdan",TRUE,TRUE
"Gaussian fluctuations of Young diagrams and structure constants of Jack characters",2016,45,"DUKE MATHEMATICAL JOURNAL","10.1215/00127094-3449566","0012-7094",,"Dołęga, Maciej",FALSE,TRUE
"General $\Omega$-theorems for coefficients of L-functions",2015,25,"PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY","10.1090/proc/12652","0002-9939",,"Kaczorowski, Jerzy",TRUE,TRUE
"Generalized von Neumann-Jordan constant and its relationship to the fixed point property",2015,45,"Fixed Point Theory and Applications","10.1186/s13663-015-0288-3","1687-1820","1687-1812","Hudzik, Henryk",TRUE,TRUE
"Generalized von Neumann-Jordan constant and its relationship to the fixed point property",2015,45,"Fixed Point Theory and Applications","10.1186/s13663-015-0288-3","1687-1820","1687-1812","Kaczmarek, Radosław",TRUE,TRUE
"GEOMETRIC INTERPOLATION OF ENTROPY NUMBERS",2017,25,"QUARTERLY JOURNAL OF MATHEMATICS","10.1093/qmath/hax044","0033-5606","1464-3847","Szwedek, Radosław",TRUE,TRUE
"Geometric properties of Orlicz spaces equipped with pp-Amemiya norms - results and open questions",2016,9,"Commentationes Mathematicae","10.14708/cm.v55i2.1132","2080-1211",,"Wisła, Marek",TRUE,TRUE
"Grothendieck's Inequality in the noncommutative Schwartz space",2016,25,"STUDIA MATHEMATICA","10.4064/sm8552-6-2016","0039-3223",,"Piszczek, Krzysztof",TRUE,TRUE
"Haar functions in weighted Besov and Triebel-Lizorkin spaces",2015,30,"JOURNAL OF APPROXIMATION THEORY","10.1016/j.jat.2015.07.001","0021-9045",,"Małecka, Agnieszka",TRUE,TRUE
"Hadamard Multipliers and Abel Dual of Hardy Spaces",2016,25,"Journal of Function Spaces and Applications","10.1155/2016/3262761","2090-8997",,"Mleczko, Paweł",TRUE,TRUE
"Hadamard Multipliers on Spaces of Holomorphic Functions",2017,35,"INTEGRAL EQUATIONS AND OPERATOR THEORY","10.1007/s00020-017-2369-7","0378-620X","1420-8989","Trybuła, Maria",TRUE,TRUE
"Hadamard multipliers on spaces of real analytic functions",2013,45,"ADVANCES IN MATHEMATICS","10.1016/j.aim.2013.01.015","0001-8708",,"Domański, Paweł",TRUE,TRUE
"Hadamard type operators on spaces of real analytic functions in several variables",2015,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2015.09.011","0022-1236",,"Domański, Paweł",TRUE,TRUE
"Hamilton cycles in random lifts of graphs",2015,30,"EUROPEAN JOURNAL OF COMBINATORICS","10.1016/j.ejc.2015.03.001","0195-6698",,"Witkowski, Marcin",TRUE,TRUE
"Hamilton cycles in random lifts of graphs",2015,30,"EUROPEAN JOURNAL OF COMBINATORICS","10.1016/j.ejc.2015.03.001","0195-6698",,"Łuczak, Tomasz",TRUE,TRUE
"Hamilton cycles in random lifts of graphs",2015,30,"EUROPEAN JOURNAL OF COMBINATORICS","10.1016/j.ejc.2015.03.001","0195-6698",,"Witkowski, Łukasz",TRUE,FALSE
"Hamilton Saturated Hypergraphs of Essentially Minimum Size",2013,25,"ELECTRONIC JOURNAL OF COMBINATORICS",,"1077-8926",,"Ruciński, Andrzej",TRUE,TRUE
"Height Functions for Groups of S-units of Number Fields and Reductions Modulo Prime Ideals",2015,13,"Bulletin of the Polish Academy of Sciences. Mathematics","10.4064/ba63-1-4","0239-7269",,"Barańczuk, Stefan",TRUE,TRUE
"Henryk Hudzik – vita et opera",2015,9,"Commentationes Mathematicae","10.14708/cm.v55i2.1245","2080-1211",,"Mastyło, Mieczysław",TRUE,TRUE
"Henryk Hudzik – vita et opera",2015,9,"Commentationes Mathematicae","10.14708/cm.v55i2.1245","2080-1211",,"Musielak, Julian",TRUE,TRUE
"Henryk Struve i Władysław Biegański – między tradycyjną a nową logiką",2015,11,"Przegląd Filozoficzny Nowa Seria",,"1230-1493",,"Murawski, Roman",TRUE,TRUE
"Hidden variable problem for a family of continuously many spin 1 measurements",2013,35,"PHYSICAL REVIEW A","10.1103/PhysRevA.87.022127","1050-2947",,"Bzdęga, Bartłomiej",TRUE,TRUE
"Higher moments of convolutions",2013,20,"JOURNAL OF NUMBER THEORY","10.1016/j.jnt.2012.10.010","0022-314X",,"Schoen, Tomasz",TRUE,TRUE
"Highly connected monochromatic subgraphs of two-colored complete graphs",2016,35,"JOURNAL OF COMBINATORIAL THEORY SERIES B","10.1016/j.jctb.2015.11.006","0095-8956",,"Łuczak, Tomasz",TRUE,TRUE
"Historia Zakładu Biometrii Instytutu im. Marcelego Nenckiego Towarzystwa Naukowego Warszawskiego i Zakładu Statystyki Matematycznej na Wydziale Ogrodniczym Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie",2013,9,"Śląski Przegląd Statystyczny",,"1644-6739",,"Krzyśko, Mirosław",TRUE,TRUE
"Hybrid universality theorem for L-functions without Euler product",2013,25,"INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS","10.1080/10652469.2012.664550","1065-2469",,"Pańkowski, Łukasz",TRUE,TRUE
"Ideals of subseries convergence and F-spaces",2017,20,"ARCHIV DER MATHEMATIK","10.1007/s00013-016-0966-3","0003-889X","1420-8938","Drewnowski, Lech",TRUE,
"Improved distributed local approximation algorithm for minimum 2-dominating set in planar graphs",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Hanćkowiak, Michał",TRUE,TRUE
"Improved distributed local approximation algorithm for minimum 2-dominating set in planar graphs",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Szymańska, Edyta",TRUE,TRUE
"Improved distributed local approximation algorithm for minimum 2-dominating set in planar graphs",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Wawrzyniak, Wojciech",TRUE,TRUE
"Improved distributed local approximation algorithm for minimum 2-dominating set in planar graphs",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Witkowski, Marcin",TRUE,TRUE
"Improved distributed local approximation algorithm of the minimum 2-dominating set in planar graphs.",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Hanćkowiak, Michał",TRUE,TRUE
"Improved distributed local approximation algorithm of the minimum 2-dominating set in planar graphs.",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Wawrzyniak, Wojciech",TRUE,TRUE
"Improved distributed local approximation algorithm of the minimum 2-dominating set in planar graphs.",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Witkowski, Marcin",TRUE,TRUE
"Improved distributed local approximation algorithm of the minimum 2-dominating set in planar graphs.",2017,20,"THEORETICAL COMPUTER SCIENCE","10.1016/j.tcs.2016.12.001","0304-3975",,"Szymańska, Edyta",TRUE,
"In some symmetric spaces monotonicity properties can be reduced to the cone of rearrangements",2016,25,"Aequationes Mathematicae","10.1007/s00010-015-0379-6","0001-9054",,"Hudzik, Henryk",TRUE,TRUE
"In some symmetric spaces monotonicity properties can be reduced to the cone of rearrangements",2016,25,"Aequationes Mathematicae","10.1007/s00010-015-0379-6","0001-9054",,"Kaczmarek, Radosław",TRUE,TRUE
"Independence of l-adic Galois representations over function fields",2013,40,"COMPOSITIO MATHEMATICA","10.1112/S0010437X12000711","0010-437X",,"Gajda, Wojciech",TRUE,TRUE
"Independence of l-adic representations of geometric Galois groups",2017,40,"JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK","10.1515/crelle-2015-0024","0075-4102",,"Gajda, Wojciech",TRUE,TRUE
"Influence of pelvic rotation on pelvic incidence, pelvic tilt, and sacral slope",2014,35,"SPINE","10.1097/BRS.0000000000000532","0362-2436",,"Wojtera-Tyrakowska, Dominika",TRUE,TRUE
"Influence of the American Financial Market on Other Markets During the Subprime Crisis",2013,11,"Folia Oeconomica Stetinensia","10.2478/v10031-012-0031-8","1730-4237",,"Płuciennik, Piotr",TRUE,TRUE
"Informatyczne technologie języka – wyzwania dla polskiej lingwistyki",2017,13,"Linguistica Copernicana",,"2080-1068","2391-7768","Vetulani, Zygmunt",TRUE,TRUE
"Informatyka jako nauka",2014,14,"Roczniki Filozoficzne",,"0035-7685",,"Bondecka-Krzykowska, Izabela",TRUE,TRUE
"Inserting measurable functions precisely",2014,15,"CZECHOSLOVAK MATHEMATICAL JOURNAL","10.1007/s10587-014-0128-3","0011-4642",,"Kubiak, Tomasz",TRUE,TRUE
